

*******************************************************************************
Ephemeris / WWW_USER Sun Jan 11 21:45:37 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: OCO-2 (spacecraft) (-140059)    {source: OCO-2}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Feb-02 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Feb-09 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260109.p260407
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JAN-09. PREDICTS-> 2026-APR-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460342.516666667, A.D. 2024-Feb-02 00:24:00.0000,  4.106629758440381E+03, -3.159607886992501E+03, -4.837222964044598E+03,  5.272683503877263E+00, -1.110752794688996E+00,  5.204591631718723E+00,
2460342.517361111, A.D. 2024-Feb-02 00:25:00.0000,  4.414532496373736E+03, -3.219851528607693E+03, -4.515414542147339E+03,  4.987273769343433E+00, -8.966859516934069E-01,  5.518752272894068E+00,
2460342.518055555, A.D. 2024-Feb-02 00:26:00.0000,  4.704699582409504E+03, -3.267136386113256E+03, -4.175412725390184E+03,  4.681691857140470E+00, -6.789377199099089E-01,  5.810833626786221E+00,
2460342.518750000, A.D. 2024-Feb-02 00:27:00.0000,  4.975956438364236E+03, -3.301267609484010E+03, -3.818578524480731E+03,  4.357142578503348E+00, -4.583780764368335E-01,  6.079642094272092E+00,
2460342.519444444, A.D. 2024-Feb-02 00:28:00.0000,  5.227203170792977E+03, -3.322102972622018E+03, -3.446341901255417E+03,  4.014909847774999E+00, -2.358906270702508E-01,  6.324073636595751E+00,
2460342.520138889, A.D. 2024-Feb-02 00:29:00.0000,  5.457419183407391E+03, -3.329553588661915E+03, -3.060196240354855E+03,  3.656352185929520E+00, -1.236918743017945E-02,  6.543118886699506E+00,
2460342.520833333, A.D. 2024-Feb-02 00:30:00.0000,  5.665667507297770E+03, -3.323584416555949E+03, -2.661692522654859E+03,  3.282897810386070E+00,  2.112857556568573E-01,  6.735867980013738E+00,
2460342.521527778, A.D. 2024-Feb-02 00:31:00.0000,  5.851098824250332E+03, -3.304214552154799E+03, -2.252433218625669E+03,  2.896039314068326E+00,  4.341706893538921E-01,  6.901515059206344E+00,
2460342.522222222, A.D. 2024-Feb-02 00:32:00.0000,  6.012955158805605E+03, -3.271517297878501E+03, -1.834065922543628E+03,  2.497327942823368E+00,  6.553828103105839E-01,  7.039362406438656E+00,
2460342.522916667, A.D. 2024-Feb-02 00:33:00.0000,  6.150573215437696E+03, -3.225620006132233E+03, -1.408276751254303E+03,  2.088367486832813E+00,  8.740238312063366E-01,  7.148824156889422E+00,
